Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,age,gender,accuracy
2,2,3,1,4,5,4,3,4,3,3,1,5,4,4,4,2,3,3,1,4,4,3,2,1,3,2,4,2,4,2,2,25,2,100
2,3,2,2,4,4,4,3,4,3,4,3,3,4,5,4,2,2,3,2,3,3,4,2,2,5,1,2,4,4,3,1,44,2,90
3,4,3,3,4,4,3,1,2,4,3,2,4,4,3,3,2,4,2,1,4,2,4,3,2,4,3,3,2,5,4,2,50,1,75
3,3,3,4,3,5,4,3,-1,4,2,4,4,5,4,3,3,3,3,3,4,3,2,4,2,4,2,2,4,5,3,3,30,2,85
1,4,2,2,3,5,4,1,4,4,2,2,5,4,4,4,2,3,2,1,5,3,3,1,1,5,2,3,2,5,4,2,52,1,80
3,3,3,2,3,3,4,2,2,1,3,3,4,4,4,3,2,1,4,2,4,4,4,2,2,3,2,4,3,4,3,3,30,2,60
4,1,2,4,2,3,3,3,4,4,4,1,2,1,2,4,4,1,3,1,3,2,2,3,4,3,2,2,3,3,4,4,27,1,60
2,4,4,1,5,5,4,3,2,4,3,3,5,4,3,3,3,4,5,3,4,3,3,1,1,4,2,4,1,5,2,2,34,1,88
2,2,1,1,3,4,3,1,3,3,2,2,5,3,3,4,2,2,4,1,4,4,4,2,1,3,4,4,1,5,2,1,30,2,95
4,2,4,1,3,5,4,2,3,1,5,3,1,3,1,5,5,1,3,1,2,1,5,2,4,5,5,2,1,5,3,2,18,1,85
1,5,1,3,4,5,4,3,2,5,5,3,5,5,5,2,2,5,4,1,5,1,4,4,1,5,2,2,2,5,2,3,33,1,86
1,3,5,5,5,5,1,4,1,3,5,4,5,3,3,2,1,3,5,1,5,1,1,3,1,5,3,1,1,5,1,3,26,1,90
2,3,2,4,2,5,3,3,3,1,4,5,5,4,4,2,3,2,2,2,4,4,2,1,-1,2,1,3,1,5,3,1,29,2,80
4,2,2,2,2,2,3,1,5,1,5,1,4,2,3,5,4,2,1,1,2,2,4,3,2,2,2,2,4,4,2,1,36,1,90
1,2,3,3,5,5,3,2,3,1,1,3,4,4,5,4,1,1,3,1,5,3,5,2,1,4,1,1,1,5,4,4,30,1,80
2,4,4,4,4,5,5,3,2,3,1,4,4,3,3,2,2,4,3,2,4,2,3,2,2,4,1,4,2,4,4,4,26,1,75
1,3,4,2,5,5,3,1,1,2,2,3,5,3,3,3,1,2,3,1,5,3,4,1,1,3,1,3,1,4,4,2,27,2,100
3,4,3,2,5,5,4,1,2,5,3,4,3,5,4,5,2,5,3,1,5,2,3,2,2,5,3,1,3,5,4,3,21,2,80
1,4,2,3,4,5,2,3,3,4,4,4,5,3,1,2,3,3,5,2,4,3,3,2,1,4,2,3,2,5,1,2,26,1,85
3,5,2,2,3,4,3,2,2,3,2,3,3,4,3,3,1,3,2,2,5,2,3,2,2,4,2,2,3,5,3,3,20,1,80
4,3,3,2,2,4,3,1,3,2,1,2,5,3,5,1,4,3,1,1,5,2,3,3,1,2,1,1,1,5,1,1,23,1,80
1,3,1,3,4,4,4,2,3,2,2,2,4,4,5,3,3,2,2,2,5,4,5,1,1,3,1,3,2,3,5,2,50,2,90
4,3,1,2,2,5,4,2,2,2,2,2,4,3,5,4,4,3,2,2,4,3,4,2,2,3,1,2,4,5,4,2,36,2,100
3,4,1,5,4,4,3,4,2,4,2,4,4,3,5,4,2,3,2,3,4,3,3,3,2,4,1,4,3,5,4,3,70,2,80
